,Date,Year,Month,Day
293,2007-11-14,2007,11,14
294,2007-11-15,2007,11,15
295,2007-11-16,2007,11,16
296,2007-11-19,2007,11,19
297,2007-11-20,2007,11,20
298,2007-11-22,2007,11,22
299,2007-11-23,2007,11,23
300,2007-11-24,2007,11,24
301,2007-11-26,2007,11,26
302,2007-11-27,2007,11,27
303,2007-11-28,2007,11,28
304,2007-11-29,2007,11,29
305,2007-11-30,2007,11,30
306,2007-12-01,2007,12,01
307,2007-12-02,2007,12,02
308,2007-12-03,2007,12,03
309,2007-12-04,2007,12,04
310,2007-12-05,2007,12,05
311,2007-12-06,2007,12,06
312,2007-12-08,2007,12,08
313,2007-12-09,2007,12,09
314,2007-12-10,2007,12,10
315,2007-12-11,2007,12,11
316,2007-12-13,2007,12,13
317,2007-12-14,2007,12,14
318,2007-12-15,2007,12,15
319,2007-12-17,2007,12,17
320,2007-12-20,2007,12,20
321,2007-12-22,2007,12,22
322,2007-12-25,2007,12,25
323,2007-12-26,2007,12,26
324,2007-12-27,2007,12,27
325,2007-12-28,2007,12,28
326,2008-01-02,2008,01,02
327,2008-01-03,2008,01,03
328,2008-01-04,2008,01,04
329,2008-01-05,2008,01,05
330,2008-01-06,2008,01,06
331,2008-01-07,2008,01,07
332,2008-01-08,2008,01,08
333,2008-01-09,2008,01,09
334,2008-01-13,2008,01,13
335,2008-01-14,2008,01,14
336,2008-01-15,2008,01,15
337,2008-01-16,2008,01,16
338,2008-01-17,2008,01,17
339,2008-01-18,2008,01,18
340,2008-01-19,2008,01,19
341,2008-01-21,2008,01,21
342,2008-01-22,2008,01,22
343,2008-01-23,2008,01,23
344,2008-01-24,2008,01,24
345,2008-01-25,2008,01,25
346,2008-01-28,2008,01,28
347,2008-01-29,2008,01,29
348,2008-01-31,2008,01,31
349,2008-02-01,2008,02,01
350,2008-02-02,2008,02,02
351,2008-02-03,2008,02,03
352,2008-02-04,2008,02,04
353,2008-02-06,2008,02,06
354,2008-02-07,2008,02,07
355,2008-02-08,2008,02,08
356,2008-02-09,2008,02,09
357,2008-02-10,2008,02,10
358,2008-02-11,2008,02,11
359,2008-02-12,2008,02,12
360,2008-02-13,2008,02,13
361,2008-02-14,2008,02,14
362,2008-02-15,2008,02,15
363,2008-02-16,2008,02,16
364,2008-02-17,2008,02,17
365,2008-02-18,2008,02,18
366,2008-02-19,2008,02,19
367,2008-02-20,2008,02,20
368,2008-02-21,2008,02,21
369,2008-02-22,2008,02,22
370,2008-02-23,2008,02,23
371,2008-02-24,2008,02,24
372,2008-02-25,2008,02,25
373,2008-02-26,2008,02,26
374,2008-02-27,2008,02,27
375,2008-02-28,2008,02,28
376,2008-02-29,2008,02,29
377,2008-03-01,2008,03,01
378,2008-03-02,2008,03,02
379,2008-03-03,2008,03,03
380,2008-03-04,2008,03,04
381,2008-03-05,2008,03,05
382,2008-03-06,2008,03,06
383,2008-03-07,2008,03,07
384,2008-03-08,2008,03,08
385,2008-03-11,2008,03,11
386,2008-03-12,2008,03,12
387,2008-03-13,2008,03,13
388,2008-03-15,2008,03,15
389,2008-03-16,2008,03,16
390,2008-03-17,2008,03,17
391,2008-03-18,2008,03,18
392,2008-03-20,2008,03,20
393,2008-03-21,2008,03,21
394,2008-03-22,2008,03,22
395,2008-03-23,2008,03,23
396,2008-03-24,2008,03,24
397,2008-03-25,2008,03,25
398,2008-03-26,2008,03,26
399,2008-03-28,2008,03,28
400,2008-03-29,2008,03,29
401,2008-03-30,2008,03,30
402,2008-03-31,2008,03,31
403,2008-04-01,2008,04,01
404,2008-04-02,2008,04,02
405,2008-04-03,2008,04,03
406,2008-04-04,2008,04,04
407,2008-04-05,2008,04,05
408,2008-04-06,2008,04,06
409,2008-04-07,2008,04,07
410,2008-04-08,2008,04,08
411,2008-04-09,2008,04,09
412,2008-04-10,2008,04,10
413,2008-04-11,2008,04,11
414,2008-04-12,2008,04,12
415,2008-04-13,2008,04,13
416,2008-04-14,2008,04,14
417,2008-04-15,2008,04,15
418,2008-04-16,2008,04,16
419,2008-04-17,2008,04,17
420,2008-04-18,2008,04,18
421,2008-04-19,2008,04,19
422,2008-04-20,2008,04,20
423,2008-04-21,2008,04,21
424,2008-04-22,2008,04,22
425,2008-04-23,2008,04,23
426,2008-04-24,2008,04,24
427,2008-04-25,2008,04,25
428,2008-04-26,2008,04,26
429,2008-04-27,2008,04,27
430,2008-04-28,2008,04,28
431,2008-04-29,2008,04,29
432,2008-04-30,2008,04,30
433,2008-05-01,2008,05,01
434,2008-05-02,2008,05,02
435,2008-05-03,2008,05,03
436,2008-05-04,2008,05,04
437,2008-05-05,2008,05,05
438,2008-05-06,2008,05,06
439,2008-05-07,2008,05,07
440,2008-05-08,2008,05,08
441,2008-05-09,2008,05,09
442,2008-05-10,2008,05,10
443,2008-05-11,2008,05,11
444,2008-05-12,2008,05,12
445,2008-05-13,2008,05,13
446,2008-05-14,2008,05,14
447,2008-05-15,2008,05,15
448,2008-05-16,2008,05,16
449,2008-05-17,2008,05,17
450,2008-05-18,2008,05,18
451,2008-05-19,2008,05,19
452,2008-05-20,2008,05,20
453,2008-05-21,2008,05,21
454,2008-05-22,2008,05,22
455,2008-05-23,2008,05,23
456,2008-05-24,2008,05,24
457,2008-05-25,2008,05,25
458,2008-05-26,2008,05,26
459,2008-05-27,2008,05,27
460,2008-05-28,2008,05,28
461,2008-05-29,2008,05,29
462,2008-05-30,2008,05,30
463,2008-05-31,2008,05,31
464,2008-06-01,2008,06,01
465,2008-06-02,2008,06,02
466,2008-06-03,2008,06,03
467,2008-06-04,2008,06,04
468,2008-06-05,2008,06,05
469,2008-06-06,2008,06,06
470,2008-06-07,2008,06,07
471,2008-06-08,2008,06,08
472,2008-06-09,2008,06,09
473,2008-06-10,2008,06,10
474,2008-06-11,2008,06,11
475,2008-06-12,2008,06,12
476,2008-06-13,2008,06,13
477,2008-06-14,2008,06,14
478,2008-06-15,2008,06,15
479,2008-06-16,2008,06,16
480,2008-06-17,2008,06,17
481,2008-06-18,2008,06,18
482,2008-06-19,2008,06,19
483,2008-06-20,2008,06,20
484,2008-06-21,2008,06,21
485,2008-06-22,2008,06,22
486,2008-06-23,2008,06,23
487,2008-06-24,2008,06,24
488,2008-06-25,2008,06,25
489,2008-06-26,2008,06,26
490,2008-06-27,2008,06,27
491,2008-06-28,2008,06,28
492,2008-06-29,2008,06,29
493,2008-06-30,2008,06,30
494,2008-07-01,2008,07,01
495,2008-07-02,2008,07,02
496,2008-07-03,2008,07,03
497,2008-07-04,2008,07,04
498,2008-07-05,2008,07,05
499,2008-07-06,2008,07,06
500,2008-07-07,2008,07,07
501,2008-07-08,2008,07,08
502,2008-07-09,2008,07,09
503,2008-07-10,2008,07,10
504,2008-07-11,2008,07,11
505,2008-07-12,2008,07,12
506,2008-07-13,2008,07,13
507,2008-07-14,2008,07,14
508,2008-07-15,2008,07,15
509,2008-07-16,2008,07,16
510,2008-07-17,2008,07,17
511,2008-07-18,2008,07,18
512,2008-07-19,2008,07,19
513,2008-07-20,2008,07,20
514,2008-07-21,2008,07,21
515,2008-07-22,2008,07,22
516,2008-07-23,2008,07,23
517,2008-07-24,2008,07,24
518,2008-07-25,2008,07,25
519,2008-07-26,2008,07,26
520,2008-07-27,2008,07,27
521,2008-07-28,2008,07,28
522,2008-07-29,2008,07,29
523,2008-07-30,2008,07,30
524,2008-07-31,2008,07,31
525,2008-08-01,2008,08,01
526,2008-08-02,2008,08,02
527,2008-08-03,2008,08,03
528,2008-08-04,2008,08,04
529,2008-08-05,2008,08,05
530,2008-08-06,2008,08,06
531,2008-08-07,2008,08,07
532,2008-08-08,2008,08,08
533,2008-08-09,2008,08,09
534,2008-08-10,2008,08,10
535,2008-08-11,2008,08,11
536,2008-08-13,2008,08,13
537,2008-08-14,2008,08,14
538,2008-08-15,2008,08,15
539,2008-08-16,2008,08,16
540,2008-08-17,2008,08,17
541,2008-08-18,2008,08,18
542,2008-08-19,2008,08,19
543,2008-08-20,2008,08,20
544,2008-08-21,2008,08,21
545,2008-08-22,2008,08,22
546,2008-08-23,2008,08,23
547,2008-08-24,2008,08,24
548,2008-08-25,2008,08,25
549,2008-08-26,2008,08,26
550,2008-08-27,2008,08,27
551,2008-08-28,2008,08,28
552,2008-08-29,2008,08,29
553,2008-08-30,2008,08,30
554,2008-08-31,2008,08,31
555,2008-09-01,2008,09,01
556,2008-09-02,2008,09,02
557,2008-09-03,2008,09,03
558,2008-09-04,2008,09,04
559,2008-09-05,2008,09,05
560,2008-09-06,2008,09,06
561,2008-09-07,2008,09,07
562,2008-09-08,2008,09,08
563,2008-09-09,2008,09,09
564,2008-09-10,2008,09,10
565,2008-09-11,2008,09,11
566,2008-09-12,2008,09,12
567,2008-09-14,2008,09,14
568,2008-09-15,2008,09,15
569,2008-09-16,2008,09,16
570,2008-09-17,2008,09,17
571,2008-09-18,2008,09,18
572,2008-09-20,2008,09,20
573,2008-09-21,2008,09,21
574,2008-09-22,2008,09,22
575,2008-09-23,2008,09,23
576,2008-09-24,2008,09,24
577,2008-09-25,2008,09,25
578,2008-09-26,2008,09,26
579,2008-09-28,2008,09,28
580,2008-09-29,2008,09,29
581,2008-09-30,2008,09,30
582,2008-10-01,2008,10,01
583,2008-10-03,2008,10,03
584,2008-10-04,2008,10,04
585,2008-10-05,2008,10,05
586,2008-10-06,2008,10,06
587,2008-10-07,2008,10,07
588,2008-10-08,2008,10,08
589,2008-10-09,2008,10,09
590,2008-10-10,2008,10,10
591,2008-10-11,2008,10,11
592,2008-10-12,2008,10,12
593,2008-10-13,2008,10,13
594,2008-10-14,2008,10,14
595,2008-10-15,2008,10,15
596,2008-10-16,2008,10,16
597,2008-10-17,2008,10,17
598,2008-10-19,2008,10,19
599,2008-10-20,2008,10,20
600,2008-10-21,2008,10,21
601,2008-10-22,2008,10,22
602,2008-10-23,2008,10,23
603,2008-10-24,2008,10,24
604,2008-10-25,2008,10,25
605,2008-10-26,2008,10,26
606,2008-10-27,2008,10,27
607,2008-10-28,2008,10,28
608,2008-10-29,2008,10,29
609,2008-10-30,2008,10,30
610,2008-10-31,2008,10,31
611,2008-11-01,2008,11,01
612,2008-11-03,2008,11,03
613,2008-11-04,2008,11,04
614,2008-11-05,2008,11,05
615,2008-11-06,2008,11,06
616,2008-11-07,2008,11,07
617,2008-11-11,2008,11,11
618,2008-11-12,2008,11,12
619,2008-11-13,2008,11,13
620,2008-11-14,2008,11,14
621,2008-11-15,2008,11,15
622,2008-11-16,2008,11,16
623,2008-11-17,2008,11,17
624,2008-11-19,2008,11,19
625,2008-11-20,2008,11,20
626,2008-11-21,2008,11,21
627,2008-11-22,2008,11,22
628,2008-11-23,2008,11,23
629,2008-11-24,2008,11,24
630,2008-11-25,2008,11,25
631,2008-11-26,2008,11,26
632,2008-11-27,2008,11,27
633,2008-11-28,2008,11,28
634,2008-11-30,2008,11,30
635,2008-12-01,2008,12,01
636,2008-12-02,2008,12,02
637,2008-12-04,2008,12,04
638,2008-12-08,2008,12,08
639,2008-12-09,2008,12,09
640,2008-12-11,2008,12,11
641,2008-12-15,2008,12,15
642,2008-12-18,2008,12,18
643,2008-12-19,2008,12,19
644,2008-12-20,2008,12,20
645,2008-12-22,2008,12,22
646,2008-12-24,2008,12,24
647,2008-12-26,2008,12,26
648,2008-12-29,2008,12,29
649,2008-12-30,2008,12,30
650,2009-01-02,2009,01,02
651,2009-01-03,2009,01,03
652,2009-01-05,2009,01,05
653,2009-01-06,2009,01,06
654,2009-01-07,2009,01,07
655,2009-01-08,2009,01,08
656,2009-01-10,2009,01,10
657,2009-01-11,2009,01,11
658,2009-01-12,2009,01,12
659,2009-01-14,2009,01,14
660,2009-01-15,2009,01,15
661,2009-01-18,2009,01,18
662,2009-01-19,2009,01,19
663,2009-01-20,2009,01,20
664,2009-01-21,2009,01,21
665,2009-01-23,2009,01,23
666,2009-01-24,2009,01,24
667,2009-01-25,2009,01,25
668,2009-01-26,2009,01,26
669,2009-01-27,2009,01,27
670,2009-01-28,2009,01,28
671,2009-01-29,2009,01,29
672,2009-01-31,2009,01,31
673,2009-02-01,2009,02,01
674,2009-02-02,2009,02,02
675,2009-02-03,2009,02,03
676,2009-02-04,2009,02,04
677,2009-02-05,2009,02,05
678,2009-02-09,2009,02,09
679,2009-02-11,2009,02,11
680,2009-02-12,2009,02,12
681,2009-02-13,2009,02,13
682,2009-02-14,2009,02,14
683,2009-02-15,2009,02,15
684,2009-02-16,2009,02,16
685,2009-02-17,2009,02,17
686,2009-02-18,2009,02,18
687,2009-02-19,2009,02,19
688,2009-02-20,2009,02,20
689,2009-02-21,2009,02,21
690,2009-02-22,2009,02,22
691,2009-02-24,2009,02,24
692,2009-02-25,2009,02,25
693,2009-02-26,2009,02,26
694,2009-02-27,2009,02,27
695,2009-02-28,2009,02,28
696,2009-03-01,2009,03,01
697,2009-03-02,2009,03,02
698,2009-03-03,2009,03,03
699,2009-03-04,2009,03,04
700,2009-03-05,2009,03,05
701,2009-03-07,2009,03,07
702,2009-03-08,2009,03,08
703,2009-03-09,2009,03,09
704,2009-03-10,2009,03,10
705,2009-03-11,2009,03,11
706,2009-03-12,2009,03,12
707,2009-03-13,2009,03,13
708,2009-03-16,2009,03,16
709,2009-03-17,2009,03,17
710,2009-03-18,2009,03,18
711,2009-03-19,2009,03,19
712,2009-03-20,2009,03,20
713,2009-03-22,2009,03,22
714,2009-03-23,2009,03,23
715,2009-03-24,2009,03,24
716,2009-03-25,2009,03,25
717,2009-03-26,2009,03,26
718,2009-03-27,2009,03,27
719,2009-03-28,2009,03,28
720,2009-03-29,2009,03,29
721,2009-03-30,2009,03,30
722,2009-04-01,2009,04,01
723,2009-04-02,2009,04,02
724,2009-04-03,2009,04,03
725,2009-04-04,2009,04,04
726,2009-04-05,2009,04,05
727,2009-04-06,2009,04,06
728,2009-04-07,2009,04,07
729,2009-04-08,2009,04,08
730,2009-04-09,2009,04,09
731,2009-04-10,2009,04,10
732,2009-04-11,2009,04,11
733,2009-04-12,2009,04,12
734,2009-04-13,2009,04,13
735,2009-04-14,2009,04,14
736,2009-04-15,2009,04,15
737,2009-04-16,2009,04,16
738,2009-04-17,2009,04,17
739,2009-04-18,2009,04,18
740,2009-04-19,2009,04,19
741,2009-04-20,2009,04,20
742,2009-04-21,2009,04,21
743,2009-04-22,2009,04,22
744,2009-04-23,2009,04,23
745,2009-04-24,2009,04,24
746,2009-04-25,2009,04,25
747,2009-04-26,2009,04,26
748,2009-04-27,2009,04,27
749,2009-04-28,2009,04,28
750,2009-04-29,2009,04,29
751,2009-04-30,2009,04,30
752,2009-05-01,2009,05,01
753,2009-05-02,2009,05,02
754,2009-05-03,2009,05,03
755,2009-05-04,2009,05,04
756,2009-05-05,2009,05,05
757,2009-05-06,2009,05,06
758,2009-05-07,2009,05,07
759,2009-05-08,2009,05,08
760,2009-05-09,2009,05,09
761,2009-05-10,2009,05,10
762,2009-05-11,2009,05,11
763,2009-05-12,2009,05,12
764,2009-05-13,2009,05,13
765,2009-05-14,2009,05,14
766,2009-05-15,2009,05,15
767,2009-05-16,2009,05,16
768,2009-05-17,2009,05,17
769,2009-05-18,2009,05,18
770,2009-05-19,2009,05,19
771,2009-05-20,2009,05,20
772,2009-05-21,2009,05,21
773,2009-05-22,2009,05,22
774,2009-05-23,2009,05,23
775,2009-05-24,2009,05,24
776,2009-05-25,2009,05,25
777,2009-05-26,2009,05,26
778,2009-05-27,2009,05,27
779,2009-05-28,2009,05,28
780,2009-05-29,2009,05,29
781,2009-05-30,2009,05,30
782,2009-05-31,2009,05,31
783,2009-06-01,2009,06,01
784,2009-06-02,2009,06,02
785,2009-06-03,2009,06,03
786,2009-06-04,2009,06,04
787,2009-06-05,2009,06,05
788,2009-06-06,2009,06,06
789,2009-06-07,2009,06,07
790,2009-06-08,2009,06,08
791,2009-06-09,2009,06,09
792,2009-06-10,2009,06,10
793,2009-06-11,2009,06,11
794,2009-06-12,2009,06,12
795,2009-06-13,2009,06,13
796,2009-06-14,2009,06,14
797,2009-06-15,2009,06,15
798,2009-06-16,2009,06,16
799,2009-06-17,2009,06,17
800,2009-06-18,2009,06,18
801,2009-06-19,2009,06,19
802,2009-06-20,2009,06,20
803,2009-06-21,2009,06,21
804,2009-06-22,2009,06,22
805,2009-06-23,2009,06,23
806,2009-06-24,2009,06,24
807,2009-06-25,2009,06,25
808,2009-06-26,2009,06,26
809,2009-06-27,2009,06,27
810,2009-06-28,2009,06,28
811,2009-06-29,2009,06,29
812,2009-06-30,2009,06,30
813,2009-07-01,2009,07,01
814,2009-07-02,2009,07,02
815,2009-07-03,2009,07,03
816,2009-07-04,2009,07,04
817,2009-07-05,2009,07,05
818,2009-07-06,2009,07,06
819,2009-07-07,2009,07,07
820,2009-07-09,2009,07,09
821,2009-07-10,2009,07,10
822,2009-07-11,2009,07,11
823,2009-07-12,2009,07,12
824,2009-07-13,2009,07,13
825,2009-07-14,2009,07,14
826,2009-07-15,2009,07,15
827,2009-07-16,2009,07,16
828,2009-07-17,2009,07,17
829,2009-07-18,2009,07,18
830,2009-07-19,2009,07,19
831,2009-07-20,2009,07,20
832,2009-07-21,2009,07,21
833,2009-07-22,2009,07,22
834,2009-07-23,2009,07,23
835,2009-07-24,2009,07,24
836,2009-07-25,2009,07,25
837,2009-07-26,2009,07,26
838,2009-07-27,2009,07,27
839,2009-07-28,2009,07,28
840,2009-07-29,2009,07,29
841,2009-07-30,2009,07,30
842,2009-07-31,2009,07,31
843,2009-08-01,2009,08,01
844,2009-08-02,2009,08,02
845,2009-08-03,2009,08,03
846,2009-08-04,2009,08,04
847,2009-08-05,2009,08,05
848,2009-08-06,2009,08,06
849,2009-08-07,2009,08,07
850,2009-08-08,2009,08,08
851,2009-08-09,2009,08,09
852,2009-08-10,2009,08,10
853,2009-08-11,2009,08,11
854,2009-08-12,2009,08,12
855,2009-08-13,2009,08,13
856,2009-08-14,2009,08,14
857,2009-08-15,2009,08,15
858,2009-08-16,2009,08,16
859,2009-08-17,2009,08,17
860,2009-08-18,2009,08,18
861,2009-08-19,2009,08,19
862,2009-08-20,2009,08,20
863,2009-08-21,2009,08,21
864,2009-08-22,2009,08,22
865,2009-08-23,2009,08,23
866,2009-08-24,2009,08,24
867,2009-08-25,2009,08,25
868,2009-08-26,2009,08,26
869,2009-08-27,2009,08,27
870,2009-08-28,2009,08,28
871,2009-08-29,2009,08,29
872,2009-08-30,2009,08,30
